link,title
https://www.marketwatch.com/story/european-stocks-open-lower-as-microchip-companies-slump-2020-07-24?siteid=yhoof2&yptr=yahoo,European stocks open lower as microchip companies slump
https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-coronavirus-stock-market-rally-falls-on-apple-tesla-intel-amd/?src=A00220&yptr=yahoo,"Dow Jones Futures: Coronavirus Stock Market Rally Falls As Apple, Tech Giants Tumble; Intel's Pain Is AMD's Gain"
https://finance.yahoo.com/news/intel-chip-delay-forces-shift-043750454.html,"Intel chip delay forces shift to using more outside factories, shares drop"
