link,title
https://finance.yahoo.com/news/did-hedge-funds-call-cloudera-140726158.html,"Did Hedge Funds Make The Right Call On Cloudera, Inc. (CLDR) ?"
https://finance.yahoo.com/news/institutions-heavily-invested-cloudera-inc-151601424.html,"Are Institutions Heavily Invested In Cloudera, Inc.'s (NYSE:CLDR) Shares?"
https://finance.yahoo.com/news/cloudera-litigation-former-louisiana-attorney-025000479.html,"CLOUDERA LITIGATION UPDATE by Former Louisiana Attorney General: Motion for Lead Plaintiff filed by Kahn Swick & Foti, LLC Unopposed in Securities Class Action Lawsuit Against Cloudera, Inc. - CLDR"
