link,title
https://finance.yahoo.com/news/this-3-billion-online-education-company-is-seeing-a-paradigm-shift-due-to-coronavirus-111622405.html,This $3 billion online education company is seeing a 'paradigm shift' due to coronavirus
https://finance.yahoo.com/news/cole-scott-kissane-standardizes-zoom-150000597.html,"Cole, Scott & Kissane Standardizes on Zoom to Conduct First Virtual Trial by Jury in Florida"
https://finance.yahoo.com/news/zoom-video-communications-zm-gains-214509943.html,Zoom Video Communications (ZM) Gains But Lags Market: What You Should Know
